Block Name,Category,EDS Block Type,Appears On (Page Types),Figma Evidence,Commerce/Dynamic?,Reuse vs New,Notes
"Product Carousel (New Arrivals / Finds & Deals)","Merchandising","Block","Home, PLP, PDP","'New Arrivals' x; 'New Finds & Deals' x87","Commerce (product feed)","New (commerce block)","Horizontal product carousel bound to a product list/collection. Reused widely - high priority."
"Product Card","Merchandising","Block (item)","PLP, carousels, mega menu","'Cards' grid; product tiles","Commerce","New (commerce item block)","Image, title, price, rating, swatches, add-to-cart/list. Core reusable item used by grid + carousels."
"Product Listing Grid (PLP)","PLP","Block","PLP","'Cards' (1168x2575) within PLP","Commerce (Live Search)","New (commerce block)","Paginated product grid. Pairs with filters + sort + pagination."
"Filter / Faceted Nav","PLP","Block","PLP","'Filter By_Tablet', 'PLP_Filter popup1/2_Mobile'","Commerce (Live Search facets)","New (commerce block)","Layered navigation / facets. Bind to ACCS searchable attributes."
"Sort By Dropdown","PLP","Block/element","PLP","'Sort By_Dropdown'","Commerce","New (element)","Sort control for product grid."
"Pagination","PLP","Block/element","PLP","'Pagination' x30","Commerce","New (element)","Grid pagination control."
"Product Gallery (PDP)","PDP","Block","PDP","PDP 'Product_list' (572x1764) image area","Commerce (asset refs)","New (commerce block)","Image gallery with thumbnails/zoom; pulls from Adobe Assets."
"Product Buy Box (PDP)","PDP","Block","PDP","PDP main 'Frame 2134284662' (572x1898)","Commerce","New (commerce block)","Title, price, variant selectors (size/color swatches), qty, add-to-cart/list, promo code."
"Customize Your Item","PDP","Block (modal)","PDP","'Customize Your Item VariationA' (mobile/tablet/desktop)","Commerce (personalization)","New (commerce block)","Personalization options (engraving etc.). Ties to ACCS personalization attributes."
"Size Guide / Size Chart","PDP","Block (modal)","PDP","'Size Chart Modal' x; 'Size Guide popup/Tablet/Mobile' x10","Static/authorable","New (modal block)","Size chart modal reused across product types."
"Review Section","PDP","Block","PDP","'Review Section' (1280x1835); 'Review Comment' x51","Dynamic (reviews)","New (integration block)","Ratings summary + review list. Likely 3rd-party reviews integration."
"Write Review","PDP","Block (form)","PDP","'Write Review_Mobile', 'Write Review_Desktop'","Dynamic (form)","New (form block)","Review submission form."
"Add to Cart Popup","PLP/PDP","Block (modal)","PLP, PDP","'Addtocart_Popup_Mobile'; 'PLP_Add to Cart popup' ; 'Add to cart floating' x61","Commerce","New (commerce modal)","Mini-cart confirmation on add."
"Add to List","PLP/PDP","Block (modal)","PLP, PDP","'Addtolist_VariationA/A1' (mobile/desktop); 'Add List to cart'","Commerce (wishlist)","New (commerce block)","Wishlist / save-for-later."
"Cart (My Cart)","Cart","Block","Cart","'My Cart_VariationA/A1' (mobile/desktop); 'Items in your Cart'","Commerce","New (commerce block)","Line items, qty, totals, promo code, gift options."
"Checkout","Checkout","Block (multi-step)","Checkout","'Checkout_VariationA/A1/A2/A3/B/B1/B2' x26","Commerce","New (commerce block)","Multi-step: Contact, Shipping Address, Delivery Method, Shipping Rates, Billing, Payment, Review."
"Address Form","Checkout","Block (form)","Checkout","'Add Address', 'Select Address Popup', 'Billing Address' x24, 'Shipping Address' x19","Commerce","New (form block)","Reusable address capture/select."
"Payment","Checkout","Block (form)","Checkout","'Payment Information' x25, 'Payment3/4', 'Select Card Popup', 'Gift Card' x19","Commerce","New (commerce block)","Payment method selection, gift card, card popups."
"Order Confirmation (Thank You)","Checkout","Block","Checkout","'Thank you_VariationA_Desktop'","Commerce","New (commerce block)","Order summary confirmation page."
"Account Overview","Account","Block","Account","'Account Overview_VariantA_Desktop'","Dynamic (account)","New","Logged-in account dashboard (note: guest canvas, limited)."
"Promo / Offer Code","Merchandising","Block/element","Cart, PDP, Checkout","'Promo code' x159; 'Offer - Code' x119; 'Offer State' x104","Commerce","New (element)","Promo/coupon code entry + applied state. Highly reused."
"Promotional Banner (Content)","Merchandising","Block","Home, Mega Menu, Cart","'Full_Banner', 'Season_Banner', '50-50_Section', 'Promotional Banner Cart' x18, mega-menu promos","Authorable","New","Authorable content/marketing banners (multiple layouts)."
"Customer Stories / Testimonials","Home","Block","Home","'Customer_Stories' (1280x801)","Authorable","New","Testimonial/story carousel."
"Council Products","Home","Block","Home","'Council Products-B2C/Leader' (1280x758)","Commerce (council catalog)","New (commerce block)","Council-specific product showcase."
"Skills/Badges Promo","Home","Block","Home","'A Month of Skills, Fun & New Badges' (1280x687)","Authorable","New","Editorial/merch promo section."
"Need Help / Have Questions","Global","Block","Home, PDP","'Need Help_Section'; 'Have Questions' x42","Static/authorable","New","Support/contact CTA strip."
"No Search Results","Search","Block","Search","'No Search Results_Desktop'","Commerce","New","Empty-state for search."
"Buttons (Style Guide)","Design System","Style/element","All","'Buttons Style Guide' x174; 'Button_Styling' x82","n/a","Global styles","Not a block - establish button styles/tokens in styles.css."
"Form Elements","Design System","Style/element","Forms","'Form-Elements' x48","n/a","Global styles + form block","Shared input styling; pair with EDS Form block for actual forms."
"Donation","Checkout/Cart","Block","Cart, Checkout","'Donation' x20","Commerce","New","Add-a-donation option."
"Gift Card","Checkout","Block","Checkout","'Gift Card' x19","Commerce","New","Gift card purchase/redemption."
