Custom or Out of the Box (OOTB),Section Title,Metadata Field Label,Technical Property Name,Summary,Tool Tips,GSUSA Feedback (Keep or Remove),Feedback Resolved,Required (Y/N),Enabled/Disabled,Extract/Autopopulate OR Manual,Type,Multi / Single Select,Values (Dropdown Items or Tag Path),"Metadata Schema (*Global = Default, all assets)",Folders Applied,Original Source (WebDAM/SharePoint/NetSuite),girlscoutshop.com,girlscouts.org / Council Sites,Email / Social,Previous Mapping (WebDAM Field),Consolidation Notes
OOTB AEM Field,Rights & Conditions,Rights Notes,./jcr:content/metadata/photoshop:Instructions,Special rights instructions.,Enter rights notes.,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,,,Special Instructions (Rights Notes),
OOTB AEM Field,Rights & Conditions,Expiration Date,./jcr:content/metadata/prism:expirationDate,Date after which the asset must not be used.,Set expiry / valid-to date.,,,N,Enabled,Manual,Date,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,,,,,,Drives expiry notifications.
Custom AEM Field,Marketing & Campaign,Campaign / Project Name,./jcr:content/metadata/gs:campaign,Associated campaign or project.,Apply campaign tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/campaign,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,WebDAM,x,x,x,Campaign/Project Name,Use single parent tag; avoid duplicates (MOM).
Custom AEM Field,Marketing & Campaign,Campaign Type,./jcr:content/metadata/gs:campaignType,Type/category of campaign.,Apply campaign type tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/campaign-type,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,,x,x,x,,
Custom AEM Field,Marketing & Campaign,Campaign Activation Year,./jcr:content/metadata/gs:campaignYear,Year the campaign was activated.,Select activation year.,,,N,Enabled,Manual,Dropdown,Single,2023; 2024; 2025; 2026,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,WebDAM,,,,Campaign/Project Activation Year,
Custom AEM Field,Marketing & Campaign,Content Type,./jcr:content/metadata/gs:contentType,Marketing content format.,Select content type.,,,N,Enabled,Manual,Dropdown,Single,Banner; Email; Social; Landing Page,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,,x,x,x,,
Custom AEM Field,Marketing & Campaign,Marketing Objective,./jcr:content/metadata/gs:marketingObjective,Goal the asset supports.,Apply marketing objective tag.,,,N,Enabled,Manual,Tag List,Multiselect,Recruitment; Renewal; Retention; Awareness; Fundraising; Volunteer Engagement; Product Sales; Brand Building,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,,,,x,,PROPOSED starter taxonomy - confirm with GSUSA (Q9).
Custom AEM Field,Marketing & Campaign,Promotion Type,./jcr:content/metadata/gs:promotionType,Type of promotion.,Apply promotion type tag.,,,N,Enabled,Manual,Tag List,Multiselect,Discount/Sale; BOGO; Free Shipping; Bundle; New Arrival; Clearance; Seasonal Offer; Member Exclusive,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,,x,,x,,PROPOSED starter taxonomy - confirm with GSUSA (Q9).
Custom AEM Field,Marketing & Campaign,Seasonal Type,./jcr:content/metadata/gs:seasonalType,Seasonal association.,Apply seasonal tag.,,,N,Enabled,Manual,Tag List,Multiselect,Spring; Summer; Fall; Winter; Back-to-Troop; Holiday; Cookie Season; Bridging,Global Metadata Schema (All Assets),/content/dam/gsusa/marketing,,x,x,x,,PROPOSED starter taxonomy - confirm with GSUSA (Q9).
Custom AEM Field,Marketing & Campaign,Event Name,./jcr:content/metadata/gs:eventName,Associated event.,Apply event tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/events,Global Metadata Schema (All Assets),/content/dam/gsusa/Events,WebDAM,,x,x,Event Name,
Custom AEM Field,Audience & Program,Audience Role,./jcr:content/metadata/gs:audienceRole,Intended audience.,Select audience role.,,,N,Enabled,Manual,Dropdown,Multiselect,Girl Scouts; Troop Leaders; Parents; Volunteers,Global Metadata Schema (All Assets),/content/dam/gsusa,,x,x,x,,
Custom AEM Field,Audience & Program,Gender,./jcr:content/metadata/gs:genderAudience,Gender audience for product/apparel.,Select gender.,,,N,Enabled,Manual,Dropdown,Single,Women; Men; Unisex,Global Metadata Schema (All Assets),/content/dam/gsusa,,x,,,,
Custom AEM Field,Audience & Program,Program Level,./jcr:content/metadata/gs:programLevel,Girl Scout program/grade level.,Apply program level tag.,,,N,Enabled,Manual,Tag List,Multiselect,Daisy; Brownie; Junior; Cadette; Senior; Ambassador,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,x,x,x,,From WebDAM Age Level keywords.
Custom AEM Field,Audience & Program,Pillars (Themes),./jcr:content/metadata/gs:pillars,Program pillar / theme.,Apply pillar tag.,,,N,Enabled,Manual,Tag List,Multiselect,Entrepreneurship; Life Skills; Outdoors; STEM,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,x,x,Pillars,
Custom AEM Field,Audience & Program,Badge Type,./jcr:content/metadata/gs:badgeType,Type of badge.,Apply badge type tag.,,,N,Enabled,Manual,Tag List,Multiselect,Earned Badge; Earned Pin; Fun Patch; Journey Award; Skill-Building Badge; Cookie Business Badge,Global Metadata Schema (All Assets),/content/dam/gsusa,,x,x,,,PROPOSED starter values - confirm with GSUSA.
Custom AEM Field,Audience & Program,Highest Award,./jcr:content/metadata/gs:highestAward,Highest award association.,Apply award tag.,,,N,Enabled,Manual,Tag List,Multiselect,Bronze; Silver; Gold,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,x,,,
Custom AEM Field,Audience & Program,Activity,./jcr:content/metadata/gs:activity,Associated activity.,Apply activity tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/activity,Global Metadata Schema (All Assets),/content/dam/gsusa/activity,,,x,x,,
Custom AEM Field,Photography & Location,Photo Shoot Code,./jcr:content/metadata/gs:photoShootCode,Identifier for the photo shoot.,Enter shoot code (e.g. SHOOT-2026-13).,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa/photoshoots,SharePoint,,x,x,,Lifestyle photography from SharePoint.
Custom AEM Field,Photography & Location,Mood,./jcr:content/metadata/gs:mood,Mood/tone of the imagery.,Select mood.,,,N,Enabled,Manual,Dropdown,Multiselect,Adventurous; Solemn; Sporty,Global Metadata Schema (All Assets),/content/dam/gsusa/photoshoots,,,x,x,,
Custom AEM Field,Photography & Location,Location Type,./jcr:content/metadata/gs:locationType,Type of location depicted.,Select location type.,,,N,Enabled,Manual,Dropdown,Single,Camp; Dream Lab; Office,Global Metadata Schema (All Assets),/content/dam/gsusa/photoshoots,,,x,,,
Custom AEM Field,Photography & Location,Location Name,./jcr:content/metadata/gs:locationName,Specific location name.,Enter location name.,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa/photoshoots,,,,,,Council/camp/dream lab name.
OOTB AEM Field,Photography & Location,City,./jcr:content/metadata/photoshop:City,City where the asset was created.,Enter city.,,,N,Enabled,Manual,Open Text,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa/photoshoots,WebDAM,,,,City,
OOTB AEM Field,Photography & Location,State,./jcr:content/metadata/photoshop:State,State/province.,Select state.,,,N,Enabled,Manual,Dropdown,Single,US States,Global Metadata Schema (All Assets),/content/dam/gsusa/photoshoots,WebDAM,,,,Province/State,
Custom AEM Field,Council,Council Asset?,./jcr:content/metadata/gs:council,Whether the asset is council-owned.,Yes/No.,,,N,Enabled,Manual,Dropdown,Single,Yes; No,Global Metadata Schema (All Assets),/content/dam/gsusa/councils,,,x,,,Promote to required in Council schema (Phase 2).
Custom AEM Field,Council,Council ID,./jcr:content/metadata/gs:councilIds,Council code(s) associated.,Enter council ID(s).,,,N,Enabled,Manual,Open Text,Multiselect,"Council codes (e.g. 603, 607)",Global Metadata Schema (All Assets),/content/dam/gsusa/councils,,,x,,,
Custom AEM Field,Council,Council Region,./jcr:content/metadata/gs:councilRegion,Region grouping for councils.,Apply council region tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/council,Global Metadata Schema (All Assets),/content/dam/gsusa/councils,,,x,,,
Custom AEM Field,Commerce,Eligible for Commerce,./jcr:content/metadata/commerce:isCommerce,Whether the asset is used on girlscoutshop.com.,Yes/No.,,,Y,Enabled,Manual,Dropdown,Single,Yes; No,Product / Commerce (Light) Schema,/content/dam/gsusa/products,NetSuite/WebDAM,x,,,,Required in Product schema only.
Custom AEM Field,Commerce,Product Category,./jcr:content/metadata/gs:productCategory,Product taxonomy category.,Apply product category tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/product,Product / Commerce (Light) Schema,/content/dam/gsusa/products,WebDAM,x,,,,Taxonomy pending completion (Q9).
Custom AEM Field,Commerce,Collection,./jcr:content/metadata/gs:collection,Product collection grouping.,Apply collection tag.,,,N,Enabled,Manual,Tag List,Multiselect,/content/cq:tags/girlscouts/collection,Product / Commerce (Light) Schema,/content/dam/gsusa/products,WebDAM,x,,,,
Custom AEM Field,Commerce,Product SKU,./jcr:content/metadata/commerce:skus,Commerce SKU(s) linked to the asset.,Enter SKU number(s).,,,N,Enabled,Extract/Autopopulate,Open Text,Multiselect,,Product / Commerce (Light) Schema,/content/dam/gsusa/products,NetSuite,x,,,Product SKU Number,From NetSuite/commerce.
Custom AEM Field,Commerce,Position,./jcr:content/metadata/commerce:positions,Display position/order for the product.,Enter position number.,,,N,Enabled,Manual,Number,Single,,Product / Commerce (Light) Schema,/content/dam/gsusa/products,,x,,,,
Custom AEM Field,Commerce,Role,./jcr:content/metadata/commerce:roles,"Role of the image (e.g. main, alt).",Select role.,,,N,Enabled,Manual,Dropdown,Single,Main/Primary; Alternate; Swatch; Lifestyle; Detail/Zoom; Back; Packaging; Size Chart,Product / Commerce (Light) Schema,/content/dam/gsusa/products,,x,,,,PROPOSED starter values - confirm with GSUSA (Q8).
Custom AEM Field,Migration / Legacy,Legacy Import Date,./jcr:content/metadata/gs:legacyImportDate,Date the asset was imported from a legacy system.,System-populated at migration.,,,N,Enabled,Autopopulate (Migration),Date,Single,,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM/SharePoint/NetSuite,,,,,Admin/hidden field.
Custom AEM Field,Migration / Legacy,Legacy Source System,./jcr:content/metadata/gs:legacySourceSystem,Original source system of the asset.,Select source.,,,N,Enabled,Autopopulate (Migration),Dropdown,Single,WebDAM; SharePoint; NetSuite,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM/SharePoint/NetSuite,,,,,Admin/hidden field.
Custom AEM Field,Migration / Legacy,Sync to AEM,./jcr:content/metadata/gs:syncToAem,Sync flag from legacy DAM.,,,,N,Disabled,Autopopulate,Dropdown,Single,Yes; No,Global Metadata Schema (All Assets),/content/dam/gsusa,WebDAM,,,,Sync to AEM,Likely deprecated post-migration.
